"id","nodeID","seqno","x","y","parent_plot","est_int","date"
"159063","3.00","1","60","30","2.00","20","2018-10-04 10:07:45"
"159064","1.00","0","160","30","1.00","100","2018-10-04 10:07:45"
"159065","2.00","2","110","30","1.00","0","2018-10-04 10:07:59"
"159066","1.00","0","160","30","1.00","20","2018-10-04 10:07:59"
"159067","3.00","3","60","30","2.00","22.89","2018-10-04 10:08:34"
"159068","1.00","0","160","30","1.00","20","2018-10-04 10:08:34"
"159069","2.00","3","110","30","1.00","0","2018-10-04 10:08:45"
"159070","1.00","0","160","30","1.00","20","2018-10-04 10:08:45"
"159071","3.00","4","60","30","2.00","26.14","2018-10-04 10:08:45"
"159072","1.00","0","160","30","1.00","20","2018-10-04 10:08:45"
"159073","2.00","4","110","30","1.00","0","2018-10-04 10:08:51"
"159074","1.00","0","160","30","1.00","20","2018-10-04 10:08:51"
"159075","2.00","5","110","30","1.00","0","2018-10-04 10:09:05"
"159076","1.00","0","160","30","1.00","21","2018-10-04 10:09:05"
"159077","2.00","6","110","30","1.00","6","2018-10-04 10:09:35"
"159078","1.00","0","160","30","1.00","21.8","2018-10-04 10:09:35"
"159079","2.00","7","110","30","1.00","11.39","2018-10-04 10:09:54"
"159080","1.00","0","160","30","1.00","22.62","2018-10-04 10:09:54"
"159081","3.00","7","60","30","2.00","34.91","2018-10-04 10:10:04"
"159082","1.00","0","160","30","1.00","23.36","2018-10-04 10:10:04"
"159083","2.00","8","110","30","1.00","14.63","2018-10-04 10:10:21"
"159084","1.00","0","160","30","1.00","23.02","2018-10-04 10:10:21"
"159085","3.00","9","60","30","1.00","36","2018-10-04 10:11:07"
"159086","1.00","0","160","30","1.00","22.2","2018-10-04 10:11:07"
"159087","3.00","10","60","30","1.00","32.4","2018-10-04 10:11:09"
"159088","1.00","0","160","30","1.00","22.2","2018-10-04 10:11:09"
"159089","3.00","11","60","30","1.00","35.16","2018-10-04 10:11:17"
"159090","1.00","0","160","30","1.00","21.98","2018-10-04 10:11:17"
"159091","3.00","11","60","30","1.00","35.16","2018-10-04 10:11:17"
"159092","1.00","0","160","30","1.00","21.98","2018-10-04 10:11:17"
"159093","2.00","11","110","30","1.00","8.64","2018-10-04 10:11:31"
"159094","1.00","0","160","30","1.00","21.78","2018-10-04 10:11:31"
"159095","2.00","13","110","30","1.00","11.1","2018-10-04 10:12:53"
"159096","1.00","0","160","30","1.00","21.05","2018-10-04 10:12:53"
"159097","2.00","17","110","30","1.00","38.95","2018-10-04 10:14:25"
"159098","1.00","0","160","30","1.00","20.56","2018-10-04 10:14:25"
"159099","3.00","20","60","30","2.00","41.76","2018-10-04 10:15:29"
"159100","1.00","0","160","30","1.00","20.36","2018-10-04 10:15:29"
"159101","2.00","21","110","30","1.00","48.81","2018-10-04 10:15:49"
"159102","1.00","0","160","30","1.00","20.33","2018-10-04 10:15:49"
"159103","2.00","21","110","30","1.00","48.81","2018-10-04 10:15:49"
"159104","1.00","0","160","30","1.00","20.33","2018-10-04 10:15:49"
"159105","2.00","22","110","30","1.00","50.93","2018-10-04 10:15:53"
"159106","1.00","0","160","30","1.00","20.29","2018-10-04 10:15:53"
"159107","3.00","23","60","30","1.00","48.03","2018-10-04 10:16:13"
"159108","1.00","0","160","30","1.00","20.26","2018-10-04 10:16:13"
"159109","2.00","23","110","30","1.00","53.39","2018-10-04 10:16:38"
"159110","1.00","0","160","30","1.00","20.21","2018-10-04 10:16:38"
"159111","3.00","24","60","30","1.00","50.3","2018-10-04 10:16:43"
"159112","1.00","0","160","30","1.00","20.21","2018-10-04 10:16:43"
"159113","3.00","25","60","30","1.00","51.27","2018-10-04 10:16:56"
"159114","1.00","0","160","30","1.00","20.19","2018-10-04 10:16:56"
"159115","3.00","26","60","30","1.00","52.93","2018-10-04 10:17:20"
"159116","1.00","0","160","30","1.00","20.17","2018-10-04 10:17:20"
"159117","2.00","25","110","30","1.00","55.66","2018-10-04 10:17:20"
"159118","1.00","0","160","30","1.00","20.17","2018-10-04 10:17:20"
"159119","2.00","26","110","30","1.00","56.09","2018-10-04 10:17:45"
"159120","1.00","0","160","30","1.00","18.24","2018-10-04 10:17:45"
"159121","3.00","28","60","30","1.00","54.84","2018-10-04 10:18:00"
"159122","1.00","0","160","30","1.00","17.41","2018-10-04 10:18:00"
"159123","2.00","27","110","30","1.00","50.84","2018-10-04 10:18:08"
"159124","1.00","0","160","30","1.00","17.41","2018-10-04 10:18:08"
"159125","3.00","29","60","30","1.00","55.82","2018-10-04 10:18:21"
"159126","1.00","0","160","30","1.00","16.67","2018-10-04 10:18:21"
"159127","3.00","30","60","30","2.00","56.62","2018-10-04 10:18:47"
"159128","1.00","0","160","30","1.00","15.4","2018-10-04 10:18:47"
"159129","3.00","30","60","30","2.00","56.62","2018-10-04 10:18:47"
"159130","1.00","0","160","30","1.00","15.4","2018-10-04 10:18:47"
"159131","2.00","29","110","30","1.00","33.35","2018-10-04 10:18:59"
"159132","1.00","0","160","30","1.00","15.4","2018-10-04 10:18:59"
"159133","3.00","31","60","30","2.00","57.26","2018-10-04 10:19:07"
"159134","1.00","0","160","30","1.00","14.86","2018-10-04 10:19:07"
"159135","2.00","30","110","30","1.00","27.01","2018-10-04 10:19:29"
"159136","1.00","0","160","30","1.00","14.38","2018-10-04 10:19:29"
"159137","3.00","33","60","30","1.00","37.57","2018-10-04 10:20:05"
"159138","1.00","0","160","30","1.00","13.54","2018-10-04 10:20:05"
"159139","2.00","32","110","30","1.00","19.69","2018-10-04 10:20:14"
"159140","1.00","0","160","30","1.00","13.19","2018-10-04 10:20:14"
"159141","2.00","34","110","30","1.00","28.15","2018-10-04 10:21:05"
"159142","1.00","0","160","30","1.00","13.32","2018-10-04 10:21:05"
"159143","3.00","35","60","30","1.00","45.28","2018-10-04 10:21:17"
"159144","1.00","0","160","30","1.00","13.99","2018-10-04 10:21:17"
"159145","3.00","36","60","30","1.00","46.75","2018-10-04 10:21:31"
"159146","1.00","0","160","30","1.00","14.59","2018-10-04 10:21:31"
"159147","3.00","37","60","30","1.00","49.27","2018-10-04 10:21:31"
"159148","1.00","0","160","30","1.00","14.59","2018-10-04 10:21:31"
"159149","2.00","36","110","30","1.00","36.78","2018-10-04 10:21:43"
"159150","1.00","0","160","30","1.00","15.13","2018-10-04 10:21:43"
"159151","3.00","38","60","30","1.00","50.34","2018-10-04 10:22:07"
"159152","1.00","0","160","30","1.00","15.62","2018-10-04 10:22:07"
"159153","3.00","39","60","30","1.00","51.31","2018-10-04 10:22:10"
"159154","1.00","0","160","30","1.00","15.62","2018-10-04 10:22:10"
"159155","2.00","38","110","30","3.00","43.07","2018-10-04 10:22:33"
"159156","1.00","0","160","30","1.00","15.45","2018-10-04 10:22:33"
"159157","3.00","40","60","30","1.00","41.56","2018-10-04 10:22:33"
"159158","1.00","0","160","30","1.00","15.45","2018-10-04 10:22:33"
"159159","3.00","41","60","30","1.00","33.66","2018-10-04 10:22:51"
"159160","1.00","0","160","30","1.00","15.9","2018-10-04 10:22:51"
"159161","2.00","39","110","30","3.00","46.29","2018-10-04 10:23:05"
"159162","1.00","0","160","30","1.00","16.31","2018-10-04 10:23:05"
"159163","2.00","40","110","30","1.00","48.89","2018-10-04 10:23:17"
"159164","1.00","0","160","30","1.00","16.68","2018-10-04 10:23:17"
"159165","3.00","42","60","30","1.00","27.26","2018-10-04 10:23:26"
"159166","1.00","0","160","30","1.00","17.01","2018-10-04 10:23:26"
"159167","2.00","41","110","30","1.00","51","2018-10-04 10:23:51"
"159168","1.00","0","160","30","1.00","16.31","2018-10-04 10:23:51"
"159169","2.00","42","110","30","1.00","52.71","2018-10-04 10:24:03"
"159170","1.00","0","160","30","1.00","15.68","2018-10-04 10:24:03"
"159171","2.00","43","110","30","1.00","47.44","2018-10-04 10:24:25"
"159172","1.00","0","160","30","1.00","14.6","2018-10-04 10:24:25"
"159173","2.00","44","110","30","1.00","38.42","2018-10-04 10:24:41"
"159174","1.00","0","160","30","1.00","14.14","2018-10-04 10:24:41"
"159175","3.00","45","60","30","1.00","25.89","2018-10-04 10:24:52"
"159176","1.00","0","160","30","1.00","14.14","2018-10-04 10:24:52"
"159177","2.00","45","110","30","1.00","31.12","2018-10-04 10:25:17"
"159178","1.00","0","160","30","1.00","14.35","2018-10-04 10:25:17"
"159179","3.00","46","60","30","1.00","32.37","2018-10-04 10:25:23"
"159180","1.00","0","160","30","1.00","14.35","2018-10-04 10:25:23"
"159181","2.00","46","110","30","1.00","25.21","2018-10-04 10:25:45"
"159182","1.00","0","160","30","1.00","15.42","2018-10-04 10:25:45"
"159183","3.00","48","60","30","1.00","41.87","2018-10-04 10:26:15"
"159184","1.00","0","160","30","1.00","16.29","2018-10-04 10:26:15"
"159185","2.00","49","110","30","1.00","36.63","2018-10-04 10:27:18"
"159186","1.00","0","160","30","1.00","14.86","2018-10-04 10:27:18"
"159187","2.00","50","110","30","1.00","38.96","2018-10-04 10:27:33"
"159188","1.00","0","160","30","1.00","15.83","2018-10-04 10:27:33"
"159189","2.00","51","110","30","1.00","41.07","2018-10-04 10:27:49"
"159190","1.00","0","160","30","1.00","16.25","2018-10-04 10:27:49"
"159191","2.00","52","110","30","1.00","42.96","2018-10-04 10:28:05"
"159192","1.00","0","160","30","1.00","16.62","2018-10-04 10:28:05"
"159193","2.00","54","110","30","1.00","48.82","2018-10-04 10:29:03"
"159194","1.00","0","160","30","1.00","17.54","2018-10-04 10:29:03"
"159195","2.00","55","110","30","1.00","43.94","2018-10-04 10:29:30"
"159196","1.00","0","160","30","1.00","18","2018-10-04 10:29:30"
"159197","3.00","56","60","30","2.00","43.75","2018-10-04 10:29:31"
"159198","1.00","0","160","30","1.00","18","2018-10-04 10:29:31"
"159199","2.00","57","110","30","1.00","28.82","2018-10-04 10:30:11"
"159200","1.00","0","160","30","1.00","18.54","2018-10-04 10:30:11"
"159201","3.00","59","60","30","1.00","51.36","2018-10-04 10:30:53"
"159202","1.00","0","160","30","1.00","18.94","2018-10-04 10:30:53"
"159203","2.00","59","110","30","1.00","23.02","2018-10-04 10:31:13"
"159204","1.00","0","160","30","1.00","19.04","2018-10-04 10:31:13"
"159205","3.00","60","60","30","2.00","53","2018-10-04 10:31:25"
"159206","1.00","0","160","30","1.00","19.14","2018-10-04 10:31:25"
"159207","3.00","61","60","30","1.00","54.33","2018-10-04 10:31:47"
"159208","1.00","0","160","30","1.00","19.22","2018-10-04 10:31:47"
"159209","3.00","62","60","30","1.00","55.86","2018-10-04 10:32:30"
"159210","1.00","0","160","30","1.00","19.43","2018-10-04 10:32:30"
"159211","2.00","62","110","30","1.00","28.93","2018-10-04 10:32:30"
"159212","1.00","0","160","30","1.00","19.43","2018-10-04 10:32:30"
"159213","2.00","65","110","30","1.00","41.65","2018-10-04 10:33:40"
"159214","1.00","0","160","30","1.00","19.66","2018-10-04 10:33:40"
"159215","3.00","65","60","30","1.00","57.56","2018-10-04 10:33:49"
"159216","1.00","0","160","30","1.00","19.7","2018-10-04 10:33:49"
"159217","2.00","66","110","30","1.00","45.14","2018-10-04 10:33:53"
"159218","1.00","0","160","30","1.00","19.7","2018-10-04 10:33:53"
"159219","3.00","66","60","30","1.00","58.02","2018-10-04 10:34:17"
"159220","1.00","0","160","30","1.00","19.73","2018-10-04 10:34:17"
"159221","2.00","67","110","30","1.00","36.56","2018-10-04 10:34:27"
"159222","1.00","0","160","30","1.00","18.75","2018-10-04 10:34:27"
"159223","3.00","68","60","30","1.00","58.55","2018-10-04 10:34:45"
"159224","1.00","0","160","30","1.00","17.88","2018-10-04 10:34:45"
"159225","2.00","68","110","30","1.00","32.9","2018-10-04 10:34:49"
"159226","1.00","0","160","30","1.00","17.88","2018-10-04 10:34:49"
"159227","2.00","69","110","30","1.00","26.65","2018-10-04 10:35:16"
"159228","1.00","0","160","30","1.00","17.28","2018-10-04 10:35:16"
"159229","2.00","70","110","30","3.00","21.59","2018-10-04 10:35:51"
"159230","1.00","0","160","30","1.00","18.02","2018-10-04 10:35:51"
"159231","3.00","70","60","30","2.00","59.05","2018-10-04 10:36:11"
"159232","1.00","0","160","30","1.00","17.21","2018-10-04 10:36:11"
"159233","3.00","71","60","30","2.00","59.23","2018-10-04 10:36:13"
"159234","1.00","0","160","30","1.00","17.21","2018-10-04 10:36:13"
"159235","2.00","71","110","30","1.00","15.73","2018-10-04 10:36:29"
"159236","1.00","0","160","30","1.00","16.49","2018-10-04 10:36:29"
"159237","2.00","72","110","30","1.00","12.74","2018-10-04 10:36:30"
"159238","1.00","0","160","30","1.00","16.49","2018-10-04 10:36:30"
"159239","2.00","72","110","30","1.00","12.74","2018-10-04 10:36:30"
"159240","1.00","0","160","30","1.00","16.49","2018-10-04 10:36:30"
"159241","2.00","73","110","30","1.00","10.32","2018-10-04 10:36:49"
"159242","1.00","0","160","30","1.00","15.84","2018-10-04 10:36:49"
"159243","2.00","74","110","30","1.00","9.29","2018-10-04 10:37:06"
"159244","1.00","0","160","30","1.00","15.26","2018-10-04 10:37:06"
"159245","3.00","74","60","30","2.00","59.54","2018-10-04 10:37:28"
"159246","1.00","0","160","30","1.00","16.16","2018-10-04 10:37:28"
"159247","2.00","75","110","30","1.00","7.52","2018-10-04 10:37:30"
"159248","1.00","0","160","30","1.00","16.16","2018-10-04 10:37:30"
"159249","2.00","75","110","30","1.00","7.52","2018-10-04 10:37:30"
"159250","1.00","0","160","30","1.00","16.16","2018-10-04 10:37:30"
"159251","2.00","76","110","30","1.00","6.09","2018-10-04 10:37:51"
"159252","1.00","0","160","30","1.00","16.54","2018-10-04 10:37:51"
"159253","3.00","76","60","30","1.00","59.7","2018-10-04 10:38:07"
"159254","1.00","0","160","30","1.00","16.89","2018-10-04 10:38:07"
"159255","2.00","77","110","30","1.00","4.93","2018-10-04 10:38:21"
"159256","1.00","0","160","30","1.00","17.2","2018-10-04 10:38:21"
"159257","3.00","77","60","30","1.00","59.75","2018-10-04 10:38:28"
"159258","1.00","0","160","30","1.00","18.48","2018-10-04 10:38:28"
"159259","2.00","78","110","30","1.00","4","2018-10-04 10:38:41"
"159260","1.00","0","160","30","1.00","18.63","2018-10-04 10:38:41"
"159261","2.00","79","110","30","1.00","3.6","2018-10-04 10:39:03"
"159262","1.00","0","160","30","1.00","18.77","2018-10-04 10:39:03"
"159263","2.00","80","110","30","1.00","2.91","2018-10-04 10:39:24"
"159264","1.00","0","160","30","1.00","18.89","2018-10-04 10:39:24"
"159265","2.00","82","110","30","1.00","1.91","2018-10-04 10:40:25"
"159266","1.00","0","160","30","1.00","19.27","2018-10-04 10:40:25"
"159267","2.00","83","110","30","1.00","1.54","2018-10-04 10:40:56"
"159268","1.00","0","160","30","1.00","20.41","2018-10-04 10:40:56"
"159269","3.00","83","60","30","1.00","59.92","2018-10-04 10:41:14"
"159270","1.00","0","160","30","1.00","22.23","2018-10-04 10:41:14"
"159271","2.00","84","110","30","1.00","1.25","2018-10-04 10:41:25"
"159272","1.00","0","160","30","1.00","22.23","2018-10-04 10:41:25"
"159273","3.00","85","60","30","1.00","59.95","2018-10-04 10:41:51"
"159274","1.00","0","160","30","1.00","23.7","2018-10-04 10:41:51"
"159275","2.00","85","110","30","1.00","0.91","2018-10-04 10:41:54"
"159276","1.00","0","160","30","1.00","23.7","2018-10-04 10:41:54"
"159277","2.00","86","110","30","1.00","0.82","2018-10-04 10:42:07"
"159278","1.00","0","160","30","1.00","24.33","2018-10-04 10:42:07"
"159279","3.00","86","60","30","1.00","59.95","2018-10-04 10:42:21"
"159280","1.00","0","160","30","1.00","24.9","2018-10-04 10:42:21"
"159281","3.00","87","60","30","1.00","59.96","2018-10-04 10:42:37"
"159282","1.00","0","160","30","1.00","25.41","2018-10-04 10:42:37"
"159283","2.00","87","110","30","1.00","0.66","2018-10-04 10:42:39"
"159284","1.00","0","160","30","1.00","25.41","2018-10-04 10:42:39"
"159285","2.00","88","110","30","1.00","0.6","2018-10-04 10:42:57"
"159286","1.00","0","160","30","1.00","24.87","2018-10-04 10:42:57"
"159287","3.00","88","60","30","1.00","59.97","2018-10-04 10:43:01"
"159288","1.00","0","160","30","1.00","24.38","2018-10-04 10:43:01"
"159289","3.00","89","60","30","1.00","59.97","2018-10-04 10:43:38"
"159290","1.00","0","160","30","1.00","28.35","2018-10-04 10:43:38"
"159291","3.00","90","60","30","1.00","59.97","2018-10-04 10:43:38"
"159292","1.00","0","160","30","1.00","28.35","2018-10-04 10:43:38"
"159293","3.00","92","60","30","1.00","59.98","2018-10-04 10:44:25"
"159294","1.00","0","160","30","1.00","34.21","2018-10-04 10:44:25"
"159295","2.00","92","110","30","1.00","11.65","2018-10-04 10:44:56"
"159296","1.00","0","160","30","1.00","36.21","2018-10-04 10:44:56"
"159297","3.00","95","60","30","1.00","59.99","2018-10-04 10:45:37"
"159298","1.00","0","160","30","1.00","39.14","2018-10-04 10:45:37"
"159299","2.00","97","110","30","1.00","41.27","2018-10-04 10:46:46"
"159300","1.00","0","160","30","1.00","39.43","2018-10-04 10:46:46"
"159301","2.00","98","110","30","1.00","44.82","2018-10-04 10:47:07"
"159302","1.00","0","160","30","1.00","37.64","2018-10-04 10:47:07"
"159303","2.00","99","110","30","1.00","46.34","2018-10-04 10:47:28"
"159304","1.00","0","160","30","1.00","36.87","2018-10-04 10:47:28"
"159305","3.00","99","60","30","1.00","59.99","2018-10-04 10:47:44"
"159306","1.00","0","160","30","1.00","36.19","2018-10-04 10:47:44"
"159307","2.00","100","110","30","1.00","47.71","2018-10-04 10:48:03"
"159308","1.00","0","160","30","1.00","35.57","2018-10-04 10:48:03"
"159309","3.00","100","60","30","1.00","59.99","2018-10-04 10:48:09"
"159310","1.00","0","160","30","1.00","35.01","2018-10-04 10:48:09"
"159311","2.00","101","110","30","1.00","50.04","2018-10-04 10:48:21"
"159312","1.00","0","160","30","1.00","34.51","2018-10-04 10:48:21"
"159313","2.00","102","110","30","1.00","51.93","2018-10-04 10:48:36"
"159314","1.00","0","160","30","1.00","34.06","2018-10-04 10:48:36"
"159315","2.00","103","110","30","1.00","52.74","2018-10-04 10:49:03"
"159316","1.00","0","160","30","1.00","33.65","2018-10-04 10:49:03"
"159317","3.00","103","60","30","1.00","59.99","2018-10-04 10:49:06"
"159318","1.00","0","160","30","1.00","33.65","2018-10-04 10:49:06"
"159319","2.00","104","110","30","1.00","54.12","2018-10-04 10:49:31"
"159320","1.00","0","160","30","1.00","32.96","2018-10-04 10:49:31"
"159321","2.00","105","110","30","1.00","55.23","2018-10-04 10:49:49"
"159322","1.00","0","160","30","1.00","31.66","2018-10-04 10:49:49"
"159323","2.00","108","110","30","1.00","46.92","2018-10-04 10:50:58"
"159324","1.00","0","160","30","1.00","29.08","2018-10-04 10:50:58"
"159325","3.00","108","60","30","1.00","59.99","2018-10-04 10:51:33"
"159326","1.00","0","160","30","1.00","27.35","2018-10-04 10:51:33"
"159327","2.00","109","110","30","3.00","49.41","2018-10-04 10:51:33"
"159328","1.00","0","160","30","1.00","27.35","2018-10-04 10:51:33"
"159329","3.00","109","60","30","1.00","59.99","2018-10-04 10:51:52"
"159330","1.00","0","160","30","1.00","26.62","2018-10-04 10:51:52"
"159331","3.00","111","60","30","1.00","59.99","2018-10-04 10:52:45"
"159332","1.00","0","160","30","1.00","23.34","2018-10-04 10:52:45"
"159333","2.00","111","110","30","3.00","52.28","2018-10-04 10:52:51"
"159334","1.00","0","160","30","1.00","23.34","2018-10-04 10:52:51"
"159335","2.00","112","110","30","3.00","54.37","2018-10-04 10:52:59"
"159336","1.00","0","160","30","1.00","22.01","2018-10-04 10:52:59"
"159337","3.00","112","60","30","1.00","59.99","2018-10-04 10:53:05"
"159338","1.00","0","160","30","1.00","22.01","2018-10-04 10:53:05"
"159339","2.00","114","110","30","1.00","56.3","2018-10-04 10:53:53"
"159340","1.00","0","160","30","1.00","18.75","2018-10-04 10:53:53"
"159341","2.00","115","110","30","1.00","57","2018-10-04 10:54:05"
"159342","1.00","0","160","30","1.00","17.87","2018-10-04 10:54:05"
"159343","3.00","114","60","30","2.00","59.99","2018-10-04 10:54:15"
"159344","1.00","0","160","30","1.00","17.87","2018-10-04 10:54:15"
"159345","2.00","117","110","30","3.00","58.03","2018-10-04 10:55:05"
"159346","1.00","0","160","30","1.00","18.45","2018-10-04 10:55:05"
"159347","3.00","116","60","30","1.00","59.99","2018-10-04 10:55:12"
"159348","1.00","0","160","30","1.00","18.6","2018-10-04 10:55:12"
"159349","2.00","118","110","30","1.00","58.41","2018-10-04 10:55:15"
"159350","1.00","0","160","30","1.00","18.6","2018-10-04 10:55:15"
"159351","2.00","119","110","30","1.00","58.71","2018-10-04 10:55:43"
"159352","1.00","0","160","30","1.00","18.87","2018-10-04 10:55:43"
"159353","3.00","119","60","30","1.00","59.99","2018-10-04 10:56:05"
"159354","1.00","0","160","30","1.00","18.98","2018-10-04 10:56:05"
"159355","2.00","120","110","30","1.00","58.95","2018-10-04 10:56:09"
"159356","1.00","0","160","30","1.00","18.98","2018-10-04 10:56:09"
"159357","3.00","120","60","30","1.00","59.99","2018-10-04 10:56:14"
"159358","1.00","0","160","30","1.00","19.08","2018-10-04 10:56:14"
"159359","2.00","121","110","30","1.00","59.15","2018-10-04 10:56:33"
"159360","1.00","0","160","30","1.00","19.17","2018-10-04 10:56:33"
"159361","2.00","122","110","30","1.00","59.23","2018-10-04 10:56:49"
"159362","1.00","0","160","30","1.00","19.26","2018-10-04 10:56:49"
"159363","2.00","123","110","30","1.00","53.38","2018-10-04 10:57:10"
"159364","1.00","0","160","30","1.00","19.4","2018-10-04 10:57:10"
"159365","3.00","124","60","30","1.00","59.99","2018-10-04 10:57:44"
"159366","1.00","0","160","30","1.00","19.51","2018-10-04 10:57:44"
"159367","2.00","125","110","30","1.00","41.02","2018-10-04 10:58:06"
"159368","1.00","0","160","30","1.00","19.56","2018-10-04 10:58:06"
"159369","3.00","125","60","30","1.00","59.99","2018-10-04 10:58:14"
"159370","1.00","0","160","30","1.00","19.6","2018-10-04 10:58:14"
"159371","3.00","126","60","30","1.00","59.99","2018-10-04 10:58:34"
"159372","1.00","0","160","30","1.00","19.64","2018-10-04 10:58:34"
"159373","2.00","127","110","30","1.00","46.16","2018-10-04 10:58:52"
"159374","1.00","0","160","30","1.00","19.68","2018-10-04 10:58:52"
"159375","2.00","128","110","30","1.00","49.91","2018-10-04 10:59:44"
"159376","1.00","0","160","30","1.00","19.79","2018-10-04 10:59:44"
"159377","2.00","129","110","30","1.00","51.83","2018-10-04 10:59:54"
"159378","1.00","0","160","30","1.00","19.81","2018-10-04 10:59:54"
"159379","3.00","129","60","30","1.00","59.99","2018-10-04 10:59:58"
"159380","1.00","0","160","30","1.00","19.81","2018-10-04 10:59:58"
"159381","2.00","130","110","30","1.00","53.38","2018-10-04 11:00:20"
"159382","1.00","0","160","30","1.00","19.83","2018-10-04 11:00:20"
"159383","3.00","131","60","30","1.00","59.99","2018-10-04 11:00:20"
"159384","1.00","0","160","30","1.00","19.83","2018-10-04 11:00:20"
"159385","2.00","131","110","30","1.00","54.64","2018-10-04 11:00:43"
"159386","1.00","0","160","30","1.00","19.86","2018-10-04 11:00:43"
"159387","3.00","132","60","30","1.00","59.99","2018-10-04 11:00:49"
"159388","1.00","0","160","30","1.00","19.86","2018-10-04 11:00:49"
"159389","2.00","132","110","30","1.00","55.65","2018-10-04 11:01:15"
